Vietos pav.	Unikalus identifikatorius	X	Y
Abromiškio atodanga	4314994364	563786,9587	6148710,327
Akmeninė užtvanka	3713676194	396674,9531	6241565,995
Akmenos apžvalgos aikštelė	5028700202	388202,8242	6142771,282
Akmenos – Jūros upių santaka	2370221555	387741,726	6136544,757
Aleksoto apžvalgos aikštelė	1013895687	492717,7233	6083944,852
Alytaus piliakalnio apžvalgos aikštelė	1134203199	505127,9284	6028871,461
Andruškonių atodanga	4966875764	506872,014	6098082,736
Apaščios ir Nemunėlio santaka	5844429476	547495,8178	6252171,345
Apušio apžvalgos aikštelė	5028214989	449246,1035	6164790,851
Apžvalgos aikštelė	6700273919	579101,3342	6062086,578
Apžvalgos aikštelė ant Tulkiaragės siurblinės stogo	5542271251	332212,6898	6138856,781
Apžvalgos aikštelė „Gairiakalnis“	3486143720	470112,2052	6077478,481
Apžvalgos aikštelė šalia Plokščių bažnyčios	5544859119	447204,8519	6105487,182
Apžvalgos aikštelė šalia Telšių bažnyčios	3872499795	391204,258	6206819,469
Apžvalgos aikštelė senojoje perkėloje	5178044391	319141,9859	6178373,622
Apžvalgos bokštas	3449141499	382158,0936	6133648,719
Apžvalgos bokštas	4692081010	308923,7137	6134019,811
Apžvalgos bokšteliai	3517028307	464109,223	6177839,375
Apžvalgos bokštelis	2068593691	324577,5639	6142889,375
Apžvalgos bokštelis	3373025183	437059,4762	6185606,418
Apžvalgos bokštelis Novaraisčio ornitologiniame draustinyje	3662663128	462605,3538	6089815,108
Apžvalgos ratas	4258095517	640944,0489	6179330,086
Apžvalgos vieta	4258220410	640165,5151	6179669,032
Artosios aukštapelkės apžvalgos aikštelė	5588109230	401993,8772	6116434,019
Atodanga	963718797	611987,0849	6082520,519
Atodanga	3238695453	605038,4451	6044500,792
Atodanga	1670019641	612174,3856	6082201,381
Aukščiausia Anykščių apžvalgos aikštelė	4402505089	568484,1716	6155485,19
Aukštagirės apžvalgos bokštas	1316287393	394658,758	6165455,233
Aukštųjų Šančių piliakalnis	1688104974	497119,5696	6082946,384
Aukštumalos pažintinio tako platforma	2068513657	332744,0104	6142891,416
Aukštupėnų piliakalnis	3832353383	561086,4135	6190808,273
Ausiutiškių regykla	1354078668	560251,4289	6071529,274
Avikalnio apžvalgos aikštelė	1118427594	317501,0836	6157008,665
Avikalnio ragas	2704421297	318126,0871	6156985,011
Avižlio atragis	1631476416	415726,5416	6230401,281
Ąžuolų kalnas	792100839	559735,1753	6076140,017
Bakanausko ežero apžvalgos aikštelė	2119876187	518182,9036	5988938,429
Balbieriškio atodanga	374121724	492500,0448	6044181,416
Baltas kalnas	1468796966	553244,0227	6083731,848
Barbakano apžvalgos aikštelė	674111736	583449,7075	6060872,102
Bardėnų apžvalgos bokštas	5028700987	372900,9585	6109799,411
Birštono apžvalgos bokštas	6371353705	500858,253	6051899,164
Birštono piliakalnis	1690106146	502182,7791	6051162,764
Birštvyno ragas	2756927416	317001,2103	6147220,385
Bitėnų apžvalgos aikštelė	5028214987	374785,1365	6107059,519
Bokštas prie Barstytalių	5028700986	367194,0642	6225914,232
Bokštelis su vaizdu į Krokų lanką	5549887839	331873,5423	6139296,255
Bokštelis su vaizdu į Kuršių marias	976164591	321951,2191	6137969,13
Buivydų piliakalnis	1690271333	560436,805	6076627,175
Bulvikio ragas	3343662439	313347,8203	6136813,9
Čepkelių raisto apžvalgos bokštas	1309875494	528107,2767	5987172,72
Dauginčių atodanga	4952741196	347040,9722	6204617,165
Daumantų atodanga	4314994341	562335,3986	6145983,127
Debesnų botaninio tako apžvalgos bokštelis	2219448197	396495,2696	6179361,984
Didysis akmuo	2621993177	421770,0623	6235369,695
Dirvonų klonis	4829246478	442191,7745	6189328,52
Drąseikių atodanga	3192087181	506352,5571	6096809,156
Drevernos apžvalgos bokštas	3453976476	325305,5681	6156931,026
Dubysos-Ventos perkaso regykla	4113995490	437965,3964	6191328,004
Dūkštų atodanga	5172670279	560532,5697	6077058,151
Dyburių atodanga	1917291702	349885,032	6203231,081
Eigulių piliakalnis	1688078085	494545,0113	6086763,874
Gastilonių atodanga	1323938974	509593,1332	6081733,286
Gaujos mokomojo pažintinio tako bokštelis	3296721649	608609,5683	6005888,944
Gedimino kapo kalno regykla	1416904471	583858,8405	6061542,74
Gedimino pilis	2837707104	583216,9076	6061913,748
Gelionių kalva	5028700985	530333,5587	6052663,458
Genių Jūros Atodanga	3436031886	384162,9282	6136600,869
Giliaus ežero panorama	6646672505	449566,5015	6164520,937
Girininko bokštelis	3561937361	561987,8579	6077916,352
Gylių atodanga	4315141797	570037,4724	6158130,781
Hageno kalnas	2756825217	319049,276	6175756,839
Ilgio ežero apžvalgos aikštelė	5684711972	524980,5937	6036734,814
Ilzenbergo dvaro Apžvalgos aikštelė	4397056176	594612,6935	6226220,546
Įpilties šaltinio akmuo	1997471637	328906,1887	6224842,212
Itališkas vaizdelis	2837567137	310470,5344	6134995,26
Jėzuitų vienuolyno apžvalgos aikštelė	5171030470	492726,0413	6084446,299
Jiesios atodanga	2471915996	495936,4641	6078731,343
Jocių-Alangos atodangų regykla	5028699395	386146,49	6131677,959
Jogaudų apžvalgos bokštas	5028700967	371777,3102	6209138,243
Jono kalnelis	2320296301	320291,2191	6178726,194
Juodeikių apžvalgos aikštelė	3491500010	409541,3998	6234027,442
Juodkrantės apžvalgos aikštelė	5028214988	318419,9595	6160091,937
Juozapinės kalnas	5695821857	605354,1978	6045039,123
Juozapinės kalno III regykla	2788401067	605356,4754	6045196,417
Juozapinės kalno II regykla	2788401061	605463,8227	6045171,57
Jūrakalnio apžvalgos bokštas	3446718472	424368,0919	6224098,152
Jurakalnio griovos atodanga ir atragis	1628529558	424323,4282	6224160,426
Kadagių slėnio panorama	2807219131	511732,0033	6075097,83
Kalnalio apžvalgos bokštas	1316308655	346717,2108	6211963,756
Kalnelio miško regykla	4312281699	510767,2317	6167641,774
Kalnelis	2713017369	494003,9111	6081735,632
Kalniškių konglomeratų atodanga	2803225316	504822,9579	6083675,356
Kamanų apžvalgos bokštas	2659282431	416586,922	6243001,437
Karmazinų atodanga	2109098819	559895,2755	6076359,514
Kartenos piliakalnis	2821328850	342185,076	6200197,699
Kartuvių kalnas	4549105391	535120,7062	6049393,382
Karvaičių apžvalgos aikštelė	303908102	318303,6618	6159138,206
Kaukiškės apžvalgos aikštelė	5003241197	627786,2472	6135598,283
Kernavės apžvalgos aikštelė	1468775760	554694,0522	6083447,754
Kernuvių atodanga	5717687729	500950,7484	6050020,543
Kintų apžvalgos bokštelis	4485532803	325908,4686	6145881,935
Kopa	2375321445	519905,4496	6095854,791
Krekenavos apžvalgos bokštas	2659304435	506652,0579	6157437,576
Krokų lankos stebykla	2068544803	329596,4938	6141341,677
Kučkuriškių piliakalnis	3153759720	588166,0206	6063268,88
Kupos upės slėnio parkas	1355474516	561132,4941	6189648,077
Ladakalnis	3751956238	626187,4502	6138590,728
Laimio kalnas	766866892	584327,4386	6058482,694
Lakštingalų slėnis	1074248500	504077,4781	6085879,939
Lašinių konglomeratų atodanga	5179618536	516565,5049	6074965,335
Ledų ragas	2756825216	319832,0327	6175250,39
Lentainių piliakalnis	1690291739	496653,7846	6091739,397
Lepelionių piliakalnis	1690102715	524784,858	6048743,046
Lėvens apžvalgos aikštelė	2283843877	524743,6341	6214248,478
Liesėnų piliakalnis	1690325421	583244,5936	6120220,579
Liškiavos piliakalnis	1686128731	502852,4306	5993764,591
Liudgardo šlaitas	5216159177	595894,3619	6102281,277
Lurdas	1444952227	327599,4654	6198811,781
Lygumų apžvalgos bokštas	2709657798	634866,4066	6128159,649
Mančiagirės skardžiai	3984811657	530154,7587	5997997,036
Marių Mergelio atodanga	2756927304	309185,6073	6133018,262
Matelio rėva	2375321446	525612,2651	6104899,493
Medvėgalio piliakalnis	3631511904	398764,6309	6167057,461
Menininkų kopa	3343687924	313237,1887	6140952,243
Mergakalnio regykla	382399179	515696,2068	6076520,697
Merguvos ežero apžvalgos bokštas	5028700215	375334,1658	6103668,641
Merkinės apžvalgos bokštas	3178402508	511400,2561	6002948,378
Merkinės piliakalnis	1687532290	511981,4906	6002323,487
Meškos galva	2756825220	319092,7635	6171659,036
Metelių apžvalgos bokštas	2659338565	483248,5815	6017645,183
Miesto panorama	2470948927	580951,8906	6064055,195
Miesto panorama	5554620085	579249,1821	6062717,907
Miežonių regykla	5028701032	498510,6353	6004265,018
Mikalojaus Daukšos kiemas	2347023774	582988,5584	6061522,061
Mikierių atodanga	686546498	575225,737	6170583,098
Mindūnų apžvalgos bokštas	3700633124	599317,0233	6121511,217
M.K. Sarbievijaus kiemas	3651935481	583038,5252	6061489,458
Muoriškių atodanga	4947550831	549576,3178	6253410,156
Murmulių atodanga	5162560420	508517,9518	6168215,439
Naglių ragas	2756927419	317882,7194	6154090,858
Naisių kaimo apžvalgos bokštelis	5028699376	440524,3276	6185947,713
Negyvosios kopos	288085010	315707,5175	6148871,936
Nemirsetos kopų ir smiltpievių apžvalgos aikštelė	3800898681	316261,1491	6196198,416
Nemunaičio atodanga	4966875773	502625,1817	6018976,61
Nemuno apžvalgos aikštelė	3013040135	374092,8198	6107435,738
Nemuno apžvalgos aikštelė	1733573451	473132,0015	6100273,125
Nemuno apžvalgos aikštelė	3013040133	374240,5344	6107387,802
Nemuno ir Neries santaka	2000463622	491856,8016	6084853,678
Neries apžvalgos aikštelė	3421869471	578985,2096	6061986,276
Neringos kalnas	2756825218	319122,1113	6174560,587
Netonių šlaitas	1962237461	482181,8073	6089418,737
Nevėžio upės slėnio apžvalgos bokštelis	4996806565	505515,3512	6154213,315
Nuostabūs saulėlydžiai ir Pagojės tvenkinys	4411249001	565776,6326	6156546,97
Obelų laukymė	4448856990	585969,6601	6064063,351
Observatorijos kiemas	3651935480	582984,8034	6061425,352
Olando kepurės skardis	4319222673	316141,7064	6188763,812
Ožkų ragas	3343740219	314941,0115	6142696,862
Pageležių miškas	2375321447	530069,4709	6114850,919
Pagojės tvenkinio užtvanka	4811244924	565797,5895	6156717,541
Pagramančio atodanga	2370216014	387875,5003	6139039,219
Palangos bažnyčios bokštas	5844602772	316593,2909	6202034,086
Palangos tiltas	1251739821	315649,5702	6202334,327
Panemuninkų skardis	5178044397	503670,8266	6041877,826
Paneriškių skardis	2045876096	563206,359	6068217,337
Panerių šilo regykla	2061136835	557125,9871	6071786,32
Panorama	312531257	498016,0525	6084511,712
Panorama į miestą ir Pučkorių slėnį	4880667870	587705,4006	6060914,048
Papiškių piliakalnis	1758423764	590095,4255	6052116,482
Paplatelės apžvalgos aikštelė	5028699371	368204,8214	6214211,119
Paplatelės tako apžvalgos bokštas	472455729	368877,2675	6214399,069
Parnidžio kopa	2837519165	308899,3165	6132925,598
